Id,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,AgeGroup,,,,,,,,,
22,16,Spotify,1,Yes,No,No,Classical,No,No,75,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,0,0,0,0,0,10-17 years,,,Idx,10-17 yrs,18-24 yrs,25-34 yrs,35 - 49 yrs,50+ yrs,Full sample
24,17,Apple Music,1,Yes,No,No,Pop,Yes,No,183,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,8,2,1,5,1,10-17 years,,,Alpha,0.05,0.05,0.05,0.05,0.05,0.05
25,17,Apple Music,2,Yes,Yes,No,EDM,Yes,No,128,Never,Rarely,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,0,0,0,0,1,10-17 years,,,Std. dev.,2.073180388,2.114059136,1.897366596,1.095445115,1,1.95796216
26,17,Spotify,4,Yes,No,No,Lofi,Yes,Yes,79,Very frequently,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Never,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,3,8,0,0,1,10-17 years,,,Size,13,28,11,5,3,60
27,15,I do not use a streaming service.,5,Yes,Yes,No,Metal,Yes,No,161,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Never,6,7,8,2,1,10-17 years,,,Mean,3.115384615,3.446428571,3,2.2,2,3.116666667
28,12,Spotify,0.5,Yes,Yes,Yes,Classical,Yes,Yes,109,Very frequently,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,7,8,6,2,1,10-17 years,,,SEM,1.126972988,0.783044074,1.121251401,0.960182335,1.131585734,0.495423679
29,14,Apple Music,2,Yes,No,No,Pop,Yes,No,78,Rarely,Never,Never,Sometimes,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Never,6,0,0,0,1,10-17 years,,,Bottom Conf. Interval,1.988411627,2.663384498,1.878748599,1.239817665,0.868414266,2.621242988
30,17,Spotify,4,Yes,No,No,Rap,Yes,No,125,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Very frequently,Sometimes,Never,10,10,2,4,1,10-17 years,,,Upper Conf. Interval,4.242357604,4.229472645,4.121251401,3.160182335,3.131585734,3.612090346
31,16,Spotify,2.5,No,Yes,Yes,Metal,Yes,No,110,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Never,Never,Rarely,Very frequently,Sometimes,5,3,3,1,1,10-17 years,,,,,,,,,
32,13,Spotify,2.5,Yes,No,No,Folk,No,No,118,Never,Sometimes,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Never,8,0,0,3,1,10-17 years,,,,,,,,,
