Column1,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,AgeGroup,,,,,,,,,
22,17,Other streaming service,6,Yes,No,Yes,Rap,Yes,No,140,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Very frequently,Rarely,Never,3,3,0,0,1,10-17 years,,,Idx,10-17 yrs,18-24 yrs,25-34 yrs,35 - 49 yrs,50+ yrs,Full sample
24,16,Spotify,3,No,No,No,Pop,No,No,140,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Never,Never,7,5,5,3,1,10-17 years,,,Alpha,0.05,0.05,0.05,0.05,0.05,0.05
25,16,Spotify,3,Yes,Yes,No,K pop,Yes,Yes,115,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Never,Sometimes,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,2,7,0,0,1,10-17 years,,,Std. dev.,2.415229458,1.96598051,3.113022501,2.073644135,2.309401077,1.95796216
26,17,Other streaming service,0,No,No,No,Video game music,No,Yes,89,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Never,Never,Very frequently,10,0,0,0,0,10-17 years,,,Size,13,28,11,5,3,60
27,15,I do not use a streaming service.,5,Yes,Yes,No,Metal,Yes,No,161,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Never,6,7,8,2,1,10-17 years,,,Mean,4,2.928571429,4.090909091,2.9,5.333333333,3.116666667
28,17,Spotify,1,Yes,Yes,No,Metal,Yes,Yes,70,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Very frequently,Sometimes,Never,Never,Very frequently,Very frequently,8,3,9,2,0,10-17 years,,,SEM,1.312909564,0.728195991,1.839644931,1.817595826,2.613285313,0.495423679
29,17,Spotify,4,Yes,No,No,Rap,Yes,No,125,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Very frequently,Sometimes,Never,10,10,2,4,1,10-17 years,,,Bottom Conf. Interval,2.687090436,2.200375438,2.25126416,1.082404174,2.720048021,2.621242988
30,15,Spotify,4,Yes,Yes,No,Pop,Yes,No,105,Never,Rarely,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,3,5,4,0,1,10-17 years,,,Upper Conf. Interval,5.312909564,3.656767419,5.930554022,4.717595826,7.946618646,3.612090346
31,17,Spotify,5,Yes,No,No,Metal,Yes,Yes,95,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Sometimes,4,1,0,0,1,10-17 years,,,,,,,,,
32,17,Spotify,2,Yes,No,No,Pop,Yes,Yes,208,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Never,Very frequently,Very frequently,Very frequently,7,6,3,1,1,10-17 years,,,,,,,,,
33,17,YouTube Music,3,Yes,No,No,Rock,No,No,122,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Very frequently,Sometimes,Never,Sometimes,Very frequently,Very frequently,6,3,6,0,1,10-17 years,,,,,,,,,
35,17,YouTube Music,8,Yes,No,No,Pop,Yes,Yes,95,Rarely,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Very frequently,Never,Rarely,Rarely,Very frequently,5,2,4,7,0,10-17 years,,,,,,,,,
36,15,Spotify,8,Yes,No,No,Rock,No,No,193,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,8,7,5,0,1,10-17 years,,,,,,,,,
1,22,Spotify,3,Yes,No,No,Hip hop,Yes,Yes,77,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Very frequently,Sometimes,Rarely,6,6,8,0,1,18-24 years,,,,,,,,,
2,22,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,98,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8,6,0,0,1,18-24 years,,,,,,,,,
